"location","newdate","Vaccination_Count","population","Vaccination_Rate"
"Guyana","2021-08","313469",808727,38.76
"Libya","2021-08","951010",6812344,13.96
"Nepal","2021-08","5339252",30547586,17.48
"Nepal","2021-09","7456384",30547586,24.41
"Libya","2021-09","1381925",6812344,20.29
"Guyana","2021-09","357208",808727,44.17
"Trinidad and Tobago","2021-09","593385",1531043,38.76
"Trinidad and Tobago","2021-10","658107",1531043,42.98
"Guyana","2021-10","380257",808727,47.02
"Libya","2021-10","1545739",6812344,22.69
"Nepal","2021-10","8621449",30547586,28.22
"Guyana","2021-11","400561",808727,49.53
"Libya","2021-11","1683548",6812344,24.71
"Nepal","2021-11","9879648",30547586,32.34
"Trinidad and Tobago","2021-11","688409",1531043,44.96
"Trinidad and Tobago","2021-12","712256",1531043,46.52
"Nepal","2021-12","12251183",30547586,40.11
"Libya","2021-12","1854197",6812344,27.22
"Guyana","2021-12","410499",808727,50.76
"Guyana","2022-01","423439",808727,52.36
"Libya","2022-01","2031276",6812344,29.82
"Nepal","2022-01","16830395",30547586,55.1
"Trinidad and Tobago","2022-01","733378",1531043,47.9
"Trinidad and Tobago","2022-02","741408",1531043,48.43
"Nepal","2022-02","21575023",30547586,70.63
"Libya","2022-02","2159157",6812344,31.69
"Guyana","2022-02","431597",808727,53.37
"Nepal","2022-03","22018430",30547586,72.08
"Guyana","2022-03","472171",808727,58.38
"Libya","2022-03","2206720",6812344,32.39
"Trinidad and Tobago","2022-03","746182",1531043,48.74
"Trinidad and Tobago","2022-04","747508",1531043,48.82
"Libya","2022-04","2214303",6812344,32.5
"Guyana","2022-04","474392",808727,58.66
"Nepal","2022-04","22261575",30547586,72.88
"Nepal","2022-05","22381118",30547586,73.27
"Libya","2022-05","2246087",6812344,32.97
"Guyana","2022-05","476000",808727,58.86
"Trinidad and Tobago","2022-05","749538",1531043,48.96
"Trinidad and Tobago","2022-06","751247",1531043,49.07
"Guyana","2022-06","481810",808727,59.58
"Libya","2022-06","2269135",6812344,33.31
"Nepal","2022-06","22995709",30547586,75.28
"Guyana","2022-07","482339",808727,59.64
"Trinidad and Tobago","2022-07","751282",1531043,49.07
"Luxembourg","2020-12","800",647601,0.12
"Luxembourg","2021-01","9891",647601,1.53
"France","2021-01","974110",67813000,1.44
"Gibraltar","2021-01","9807",32677,30.01
"Upper middle income","2021-01","968771",-1769045996,0.04
"Upper middle income","2021-02","7509419",-1769045996,0.3
"Gibraltar","2021-02","23518",32677,71.97
"France","2021-02","3154486",67813000,4.65
"Luxembourg","2021-02","27100",647601,4.18
"Dominican Republic","2021-02","5328",11228821,0.05
"Dominican Republic","2021-03","856474",11228821,7.63
"France","2021-03","8873599",67813000,13.09
"Luxembourg","2021-03","73151",647601,11.3
"Gambia","2021-03","5345",2705995,0.2
"Gibraltar","2021-03","31739",32677,97.13
"Moldova","2021-03","9341",3272993,0.29
"Upper middle income","2021-03","52825824",-1769045996,2.09
"Upper middle income","2021-04","95382233",-1769045996,3.78
"Dominican Republic","2021-04","993804",11228821,8.85
"Moldova","2021-04","98541",3272993,3.01
"Gibraltar","2021-04","37504",32677,114.77
"Gambia","2021-04","20922",2705995,0.77
"France","2021-04","9938865",67813000,14.66
"Luxembourg","2021-04","99992",647601,15.44
"France","2021-05","26417334",67813000,38.96
"Luxembourg","2021-05","229702",647601,35.47
"Gambia","2021-05","29148",2705995,1.08
"Gibraltar","2021-05","39080",32677,119.59
"Moldova","2021-05","340151",3272993,10.39
"Dominican Republic","2021-05","3223950",11228821,28.71
"Upper middle income","2021-05","99118154",-1769045996,3.92
"Upper middle income","2021-06","869418222",-1769045996,34.42
"Gibraltar","2021-06","39235",32677,120.07
"Gambia","2021-06","31150",2705995,1.1500000000000001
"Moldova","2021-06","453142",3272993,13.84
"France","2021-06","34602158",67813000,51.03
"Dominican Republic","2021-06","4949582",11228821,44.08
"Luxembourg","2021-06","341061",647601,52.67
"Gibraltar","2021-07","39340",32677,120.39
"Gambia","2021-07","31254",2705995,1.1500000000000001
"Moldova","2021-07","548890",3272993,16.77
"France","2021-07","43097972",67813000,63.55
"Luxembourg","2021-07","393367",647601,60.74
"Dominican Republic","2021-07","5543146",11228821,49.37
"Upper middle income","2021-07","990220946",-1769045996,39.2
"Upper middle income","2021-08","999147928",-1769045996,39.56
"Dominican Republic","2021-08","5815574",11228821,51.79
"Luxembourg","2021-08","406770",647601,62.81
"France","2021-08","49129163",67813000,72.45
"Moldova","2021-08","561055",3272993,17.14
"Gambia","2021-08","177168",2705995,6.55
"Gibraltar","2021-08","39629",32677,121.27
"Gibraltar","2021-09","39951",32677,122.26
"France","2021-09","50946433",67813000,75.13
"Dominican Republic","2021-09","6069351",11228821,54.05
"Luxembourg","2021-09","418605",647601,64.64
"Gambia","2021-09","184817",2705995,6.83
"Upper middle income","2021-09","1642554136",-1769045996,65.03
"Upper middle income","2021-10","1708254932",-1769045996,67.63
"Gambia","2021-10","234467",2705995,8.66
"Luxembourg","2021-10","433771",647601,66.98
"Dominican Republic","2021-10","6728113",11228821,59.92
"Moldova","2021-10","884590",3272993,27.03
"France","2021-10","51841004",67813000,76.45
"Gibraltar","2021-10","40547",32677,124.08
"Dominican Republic","2021-11","6875984",11228821,61.24
"Gibraltar","2021-11","40914",32677,125.21
"Gambia","2021-11","236834",2705995,8.75
"France","2021-11","52488124",67813000,77.4
"Moldova","2021-11","948882",3272993,28.99
"Luxembourg","2021-11","446862",647601,69
"Upper middle income","2021-11","1878864324",-1769045996,74.38
"Upper middle income","2021-12","1952723592",-1769045996,77.31
"Dominican Republic","2021-12","6938596",11228821,61.79
"Luxembourg","2021-12","464399",647601,71.71
"Moldova","2021-12","989897",3272993,30.24
"France","2021-12","53230202",67813000,78.5
"Gambia","2021-12","263056",2705995,9.72
"Gibraltar","2021-12","41173",32677,126
"Gibraltar","2022-01","41356",32677,126.56
"Gambia","2022-01","317855",2705995,11.75
"France","2022-01","54124649",67813000,79.81
"Luxembourg","2022-01","476085",647601,73.52
"Dominican Republic","2022-01","6999277",11228821,62.33
"Upper middle income","2022-01","1980926047",-1769045996,78.42
"Upper middle income","2022-02","2005768777",-1769045996,79.41
"Dominican Republic","2022-02","7119929",11228821,63.41
"Moldova","2022-02","1074332",3272993,32.82
"Luxembourg","2022-02","479295",647601,74.01
"France","2022-02","54339833",67813000,80.13
"Gambia","2022-02","330027",2705995,12.2
"Gibraltar","2022-02","41902",32677,128.23
"Dominican Republic","2022-03","7187620",11228821,64.01
"Moldova","2022-03","1083286",3272993,33.1
"Luxembourg","2022-03","480329",647601,74.17
"France","2022-03","54406246",67813000,80.23
"Gibraltar","2022-03","42042",32677,128.66
"Upper middle income","2022-03","2029756268",-1769045996,80.36
"Upper middle income","2022-04","2042803350",-1769045996,80.87
"Gibraltar","2022-04","42074",32677,128.76
"France","2022-04","54454467",67813000,80.3
"Luxembourg","2022-04","480673",647601,74.22
"Dominican Republic","2022-04","7207303",11228821,64.19
"Dominican Republic","2022-05","7220831",11228821,64.31
"Luxembourg","2022-05","480994",647601,74.27
"France","2022-05","54495564",67813000,80.36
"Gambia","2022-05","449464",2705995,16.61
"Upper middle income","2022-05","2052309130",-1769045996,81.25
"Upper middle income","2022-06","2061167090",-1769045996,81.6
"Dominican Republic","2022-06","7237525",11228821,64.45
"Gambia","2022-06","449464",2705995,16.61
"France","2022-06","54530958",67813000,80.41
"Luxembourg","2022-06","481312",647601,74.32
"Luxembourg","2022-07","481328",647601,74.32
"France","2022-07","54532975",67813000,80.42
"Dominican Republic","2022-07","7238300",11228821,64.46
"Upper middle income","2022-07","2061252630",-1769045996,81.6
"United States","2020-12","923222",338289856,0.27
"United States","2021-01","9989310",338289856,2.95
"United States","2021-02","56236747",338289856,16.62
"Qatar","2021-02","100000",2695131,3.71
"United States","2021-03","98683388",338289856,29.17
"United States","2021-04","153123692",338289856,45.26
"Qatar","2021-04","989627",2695131,36.72
"Qatar","2021-05","1461871",2695131,54.24
"United States","2021-05","173638666",338289856,51.33
"United States","2021-06","183541437",338289856,54.26
"Qatar","2021-06","1714847",2695131,63.63
"Qatar","2021-07","2053529",2695131,76.19
"United States","2021-07","193250303",338289856,57.13
"United States","2021-08","206865219",338289856,61.15
"Qatar","2021-08","2323543",2695131,86.21
"Qatar","2021-09","2360308",2695131,87.58
"United States","2021-09","215414801",338289856,63.68
"United States","2021-10","222040977",338289856,65.64
"United States","2021-11","233810596",338289856,69.12
"United States","2021-12","244104717",338289856,72.16
"United States","2022-01","251400429",338289856,74.32
"United States","2022-02","254178133",338289856,75.14
"Qatar","2022-03","2593517",2695131,96.23
"United States","2022-03","255767644",338289856,75.61
"United States","2022-04","257354554",338289856,76.08
"Qatar","2022-04","2602309",2695131,96.56
"Qatar","2022-05","2611100",2695131,96.88
"United States","2022-05","258666941",338289856,76.46
"United States","2022-06","260045532",338289856,76.87
"Qatar","2022-06","2646568",2695131,98.2
"United States","2022-07","260119122",338289856,76.89
"Denmark","2021-01","94808",5882259,1.61
"Denmark","2021-02","375727",5882259,6.39
"Denmark","2021-03","621631",5882259,10.57
"Guinea","2021-03","59993",13859349,0.43
"Denmark","2021-04","991911",5882259,16.86
"Guinea","2021-04","95312",13859349,0.69
"Guinea","2021-05","97511",13859349,0.7
"Guinea-Bissau","2021-05","5889",2105580,0.28
"Denmark","2021-05","2041115",5882259,34.7
"Guinea-Bissau","2021-06","21855",2105580,1.04
"Denmark","2021-06","3155260",5882259,53.64
"Guinea","2021-06","401425",13859349,2.9000000000000004
"Denmark","2021-07","4113895",5882259,69.94
"Guinea","2021-07","561121",13859349,4.05
"Guinea-Bissau","2021-07","24000",2105580,1.14
"Guinea-Bissau","2021-08","28097",2105580,1.33
"Guinea","2021-08","831183",13859349,6
"Denmark","2021-08","4304573",5882259,73.18
"Denmark","2021-09","4357802",5882259,74.08
"Guinea","2021-09","993156",13859349,7.17
"Guinea-Bissau","2021-09","87231",2105580,4.14
"Guinea-Bissau","2021-10","127719",2105580,6.07
"Guinea","2021-10","1513854",13859349,10.92
"Denmark","2021-10","4392719",5882259,74.68
"Guinea-Bissau","2021-11","349317",2105580,16.59
"Guinea","2021-11","1658464",13859349,11.97
"Denmark","2021-11","4475135",5882259,76.08
"Denmark","2021-12","4723431",5882259,80.3
"Guinea","2021-12","2026767",13859349,14.62
"Guinea-Bissau","2021-12","390794",2105580,18.56
"Guinea-Bissau","2022-01","396327",2105580,18.82
"Guinea","2022-01","3382832",13859349,24.41
"Denmark","2022-01","4762530",5882259,80.96
"Denmark","2022-02","4766306",5882259,81.03
"Guinea-Bissau","2022-02","514401",2105580,24.43
"Denmark","2022-03","4768048",5882259,81.06
"Guinea-Bissau","2022-03","519240",2105580,24.66
"Guinea","2022-03","3472605",13859349,25.06
"Guinea","2022-04","4464014",13859349,32.21
"Guinea-Bissau","2022-04","519455",2105580,24.67
"Denmark","2022-04","4769774",5882259,81.09
"Denmark","2022-05","4771486",5882259,81.12
"Guinea","2022-05","4477740",13859349,32.31
"Denmark","2022-06","4772534",5882259,81.13
"Guinea","2022-06","4550563",13859349,32.83
"Guinea-Bissau","2022-06","529783",2105580,25.16
"Denmark","2022-07","4772746",5882259,81.14
"Jordan","2021-01","40000",11285875,0.35
"Paraguay","2021-02","546",6780745,0.01
"Jordan","2021-02","50000",11285875,0.44
"Jordan","2021-03","304946",11285875,2.6999999999999997
"Paraguay","2021-03","9929",6780745,0.15
"Jordan","2021-04","699328",11285875,6.199999999999999
"Paraguay","2021-04","96876",6780745,1.43
"Paraguay","2021-05","346729",6780745,5.11
"Jordan","2021-05","805020",11285875,7.13
"Paraguay","2021-06","769709",6780745,11.35
"Jordan","2021-06","2488769",11285875,22.05
"Jordan","2021-07","2989511",11285875,26.49
"Paraguay","2021-07","996085",6780745,14.69
"Paraguay","2021-08","2285695",6780745,33.71
"Jordan","2021-08","3472046",11285875,30.76
"Paraguay","2021-09","2621847",6780745,38.67
"Jordan","2021-09","3713321",11285875,32.9
"Jordan","2021-10","3950145",11285875,35
"Paraguay","2021-10","2919121",6780745,43.05
"Paraguay","2021-11","3344594",6780745,49.32
"Jordan","2021-11","4137286",11285875,36.66
"Jordan","2021-12","4331942",11285875,38.38
"Paraguay","2021-12","3469821",6780745,51.169999999999995
"Paraguay","2022-01","3540518",6780745,52.21
"Jordan","2022-01","4568137",11285875,40.48
"Jordan","2022-02","4662686",11285875,41.31
"Paraguay","2022-02","3786974",6780745,55.85
"Jordan","2022-03","4742427",11285875,42.02
"Paraguay","2022-03","3868131",6780745,57.05
"Paraguay","2022-04","3881480",6780745,57.24
"Jordan","2022-04","4763118",11285875,42.2
"Paraguay","2022-05","3899290",6780745,57.51
"Jordan","2022-05","4789727",11285875,42.44
"Jordan","2022-06","4805507",11285875,42.58
"Paraguay","2022-06","3917192",6780745,57.77
"South Sudan","2021-04","947",10913172,0.01
"South Sudan","2021-05","9744",10913172,0.09
"South Sudan","2021-06","42166",10913172,0.39
"South Sudan","2021-07","52226",10913172,0.48
"South Sudan","2021-08","52387",10913172,0.48
"South Sudan","2021-09","74198",10913172,0.68
"South Sudan","2021-10","84839",10913172,0.78
"South Sudan","2021-11","84839",10913172,0.78
"South Sudan","2021-12","227262",10913172,2.08
"South Sudan","2022-01","296056",10913172,2.71
"South Sudan","2022-02","475558",10913172,4.36
"South Sudan","2022-03","526243",10913172,4.82
"South Sudan","2022-04","619938",10913172,5.68
"South Sudan","2022-05","681305",10913172,6.24
"South Sudan","2022-06","1164135",10913172,10.67
"Wales","2021-01","91239",3170000,2.88
"Wales","2021-02","925669",3170000,29.2
"Saint Helena","2021-02","107",5401,1.98
"Saint Helena","2021-03","4344",5401,80.43
"Wales","2021-03","998296",3170000,31.49
"Saint Helena","2021-04","4361",5401,80.74
"Wales","2021-04","1846896",3170000,58.26
"Wales","2021-05","2147274",3170000,67.74
"Saint Helena","2021-05","4361",5401,80.74
"Wales","2021-06","2259622",3170000,71.28
"Wales","2021-07","2295923",3170000,72.43
"Wales","2021-08","2354057",3170000,74.26
"Wales","2021-09","2376708",3170000,74.98
"Wales","2021-10","2445438",3170000,77.14
"Wales","2021-11","2469217",3170000,77.89
"Wales","2021-12","2490591",3170000,78.57
"Wales","2022-01","2510933",3170000,79.21
"Wales","2022-02","2520766",3170000,79.52
"Wales","2022-03","2530166",3170000,79.82
"Wales","2022-04","2549555",3170000,80.43
"Wales","2022-05","2562457",3170000,80.83
"Wales","2022-06","2574983",3170000,81.23
"Wales","2022-07","2575189",3170000,81.24
"Japan","2021-03","877159",123951696,0.71
"Togo","2021-03","42092",8848700,0.48
"Togo","2021-04","82753",8848700,0.94
"Botswana","2021-04","49882",2630300,1.9
"Japan","2021-04","996058",123951696,0.8
"Japan","2021-05","9864980",123951696,7.96
"Cook Islands","2021-05","4363",17032,25.62
"Botswana","2021-05","88907",2630300,3.38
"Togo","2021-05","270784",8848700,3.06
"Togo","2021-06","270784",8848700,3.06
"Cook Islands","2021-06","9755",17032,57.27
"Japan","2021-06","34975112",123951696,28.22
"Botswana","2021-06","158863",2630300,6.04
"Botswana","2021-07","237775",2630300,9.04
"Japan","2021-07","58261038",123951696,47
"Cook Islands","2021-07","10931",17032,64.18
"Togo","2021-07","304278",8848700,3.44
"Togo","2021-08","356897",8848700,4.03
"Cook Islands","2021-08","11404",17032,66.96
"Japan","2021-08","75193352",123951696,60.66
"Botswana","2021-08","252722",2630300,9.61
"Japan","2021-09","91428256",123951696,73.76
"Botswana","2021-09","394827",2630300,15.01
"Togo","2021-09","595491",8848700,6.73
"Togo","2021-10","929347",8848700,10.5
"Botswana","2021-10","676342",2630300,25.71
"Japan","2021-10","99609069",123951696,80.36
"Cook Islands","2021-10","12297",17032,72.2
"Cook Islands","2021-11","12600",17032,73.98
"Botswana","2021-11","770879",2630300,29.31
"Japan","2021-11","99982953",123951696,80.66
"Togo","2021-11","998792",8848700,11.29
"Togo","2021-12","1391738",8848700,15.73
"Japan","2021-12","101215832",123951696,81.66
"Botswana","2021-12","1169197",2630300,44.45
"Cook Islands","2021-12","12841",17032,75.39
"Cook Islands","2022-01","12971",17032,76.16
"Botswana","2022-01","1193823",2630300,45.39
"Japan","2022-01","101569375",123951696,81.94
"Togo","2022-01","1415448",8848700,16
"Japan","2022-02","101869746",123951696,82.19
"Botswana","2022-02","1422523",2630300,54.08
"Cook Islands","2022-02","14662",17032,86.09
"Japan","2022-03","102659096",123951696,82.82
"Botswana","2022-03","1454775",2630300,55.31
"Cook Islands","2022-03","14992",17032,88.02
"Togo","2022-03","1558542",8848700,17.61
"Togo","2022-04","2037429",8848700,23.03
"Cook Islands","2022-04","15004",17032,88.09
"Japan","2022-04","103299431",123951696,83.34
"Japan","2022-05","103624423",123951696,83.6
"Botswana","2022-05","1486076",2630300,56.5
"Togo","2022-05","2086764",8848700,23.58
"Togo","2022-06","2092750",8848700,23.65
"Japan","2022-06","103793685",123951696,83.74
"Cook Islands","2022-06","15033",17032,88.26
"Japan","2022-07","103800255",123951696,83.74
"Congo","2021-04","14297",5970430,0.24
"Congo","2021-05","38268",5970430,0.64
"Congo","2021-06","67511",5970430,1.13
"Congo","2021-07","132671",5970430,2.22
"Congo","2021-08","184812",5970430,3.0999999999999996
"Congo","2021-09","230572",5970430,3.86
"Congo","2021-10","289849",5970430,4.85
"Congo","2021-11","496643",5970430,8.32
"Congo","2021-12","622886",5970430,10.43
"Congo","2022-02","675865",5970430,11.32
"Congo","2022-03","681597",5970430,11.42
"Congo","2022-05","693003",5970430,11.61
"Congo","2022-06","693902",5970430,11.62
"European Union","2020-12","75983",450146793,0.02
"European Union","2021-01","9724028",450146793,2.16
"European Union","2021-02","22993651",450146793,5.11
"European Union","2021-03","53393517",450146793,11.86
"European Union","2021-04","98726711",450146793,21.93
"European Union","2021-05","172191183",450146793,38.25
"European Union","2021-06","228406703",450146793,50.74
"European Union","2021-07","265909566",450146793,59.07
"European Union","2021-08","290445806",450146793,64.52
"European Union","2021-09","301604232",450146793,67
"European Union","2021-10","308273016",450146793,68.48
"European Union","2021-11","315279519",450146793,70.04
"European Union","2021-12","323557701",450146793,71.88
"European Union","2022-01","331183156",450146793,73.57
"European Union","2022-02","333229682",450146793,74.03
"European Union","2022-03","333935035",450146793,74.18
"European Union","2022-04","334313415",450146793,74.27
"European Union","2022-05","334569067",450146793,74.32
"European Union","2022-06","334737705",450146793,74.36
"European Union","2022-07","334747075",450146793,74.36
"Romania","2021-01","92706",19659270,0.47
"Maldives","2021-02","99419",523798,18.98
"Romania","2021-02","907346",19659270,4.62
"Romania","2021-03","975582",19659270,4.96
"Maldives","2021-03","237716",523798,45.38
"Senegal","2021-03","68205",17316452,0.39
"Senegal","2021-04","411343",17316452,2.38
"Maldives","2021-04","296529",523798,56.61
"Romania","2021-04","3294995",19659270,16.76
"Romania","2021-05","4311193",19659270,21.93
"Maldives","2021-05","310159",523798,59.21
"Senegal","2021-05","452735",17316452,2.61
"Senegal","2021-06","515344",17316452,2.98
"Maldives","2021-06","317012",523798,60.52
"Romania","2021-06","4718336",19659270,24
"Maldives","2021-07","322710",523798,61.61
"Romania","2021-07","5001452",19659270,25.44
"Senegal","2021-07","640013",17316452,3.6999999999999997
"Senegal","2021-08","900914",17316452,5.2
"Romania","2021-08","5242450",19659270,26.67
"Maldives","2021-08","384444",523798,73.4
"Maldives","2021-09","392315",523798,74.9
"Romania","2021-09","5474507",19659270,27.85
"Senegal","2021-09","1247876",17316452,7.21
"Senegal","2021-10","1271021",17316452,7.34
"Maldives","2021-10","394574",523798,75.33
"Maldives","2021-11","395781",523798,75.56
"Senegal","2021-11","1316401",17316452,7.6
"Maldives","2021-12","396779",523798,75.75
"Maldives","2022-01","397642",523798,75.92
"Senegal","2022-01","1316775",17316452,7.6
"Senegal","2022-02","1440720",17316452,8.32
"Maldives","2022-02","398214",523798,76.02
"Maldives","2022-03","398459",523798,76.07
"Senegal","2022-03","1457116",17316452,8.41
"Maldives","2022-04","398579",523798,76.09
"Maldives","2022-05","398682",523798,76.11
"Maldives","2022-06","398793",523798,76.13
"Poland","2020-12","6300",39857144,0.02
"Poland","2021-01","976367",39857144,2.45
"Poland","2021-02","998587",39857144,2.51
"Monaco","2021-03","9750",36491,26.72
"Poland","2021-03","4231313",39857144,10.62
"Poland","2021-04","8597875",39857144,21.570000000000004
"Monaco","2021-04","13289",36491,36.42
"Monaco","2021-05","16502",36491,45.22
"Poland","2021-05","9987919",39857144,25.06
"Monaco","2021-06","19842",36491,54.38
"Poland","2021-06","16890799",39857144,42.38
"Poland","2021-07","18332060",39857144,45.99
"Monaco","2021-07","23551",36491,64.54
"Monaco","2021-08","25930",36491,71.06
"Poland","2021-08","19284686",39857144,48.38
"Monaco","2021-09","26672",36491,73.09
"Poland","2021-09","19813605",39857144,49.71
"Poland","2021-10","20248449",39857144,50.8
"Poland","2021-11","20829997",39857144,52.26
"Monaco","2021-12","28875",36491,79.13
"Poland","2021-12","21673668",39857144,54.38
"Poland","2022-01","22320403",39857144,56.00000000000001
"Poland","2022-02","22519535",39857144,56.5
"Poland","2022-03","22589179",39857144,56.68
"Poland","2022-04","22670819",39857144,56.88
"Poland","2022-05","22722506",39857144,57.01
"Poland","2022-06","22735503",39857144,57.04
"Poland","2022-07","22735900",39857144,57.04
"Lebanon","2021-03","98022",5489744,1.79
"Lebanon","2021-04","293260",5489744,5.34
"Lebanon","2021-05","521645",5489744,9.5
"Lebanon","2021-06","909523",5489744,16.57
"Lebanon","2021-07","993893",5489744,18.1
"Lebanon","2021-08","1367317",5489744,24.91
"Lebanon","2021-09","1609654",5489744,29.32
"Lebanon","2021-10","1765154",5489744,32.15
"Lebanon","2021-11","1915051",5489744,34.88
"Lebanon","2021-12","2252750",5489744,41.04
"Lebanon","2022-01","2438034",5489744,44.41
"Lebanon","2022-02","2491955",5489744,45.39
"Lebanon","2022-03","2517433",5489744,45.86
"Lebanon","2022-04","2677312",5489744,48.77
"Lebanon","2022-05","2686207",5489744,48.93
"Lebanon","2022-06","2698736",5489744,49.16
"Saint Kitts and Nevis","2021-03","8573",47681,17.98
"Venezuela","2021-03","14223",28301700,0.05
"Saint Kitts and Nevis","2021-04","11848",47681,24.85
"Venezuela","2021-04","98000",28301700,0.35
"Bosnia and Herzegovina","2021-04","68988",3233530,2.13
"Bosnia and Herzegovina","2021-05","85057",3233530,2.63
"Venezuela","2021-05","316000",28301700,1.12
"Saint Kitts and Nevis","2021-05","18425",47681,38.64
"Saint Kitts and Nevis","2021-06","22937",47681,48.11
"Venezuela","2021-06","588066",28301700,2.08
"Bosnia and Herzegovina","2021-06","302020",3233530,9.34
"Bosnia and Herzegovina","2021-07","388445",3233530,12.01
"Venezuela","2021-07","2900000",28301700,10.25
"Saint Kitts and Nevis","2021-07","23872",47681,50.07
"Venezuela","2021-08","6006270",28301700,21.22
"Saint Kitts and Nevis","2021-08","24266",47681,50.89
"Bosnia and Herzegovina","2021-08","567198",3233530,17.54
"Bosnia and Herzegovina","2021-09","734195",3233530,22.71
"Venezuela","2021-09","9731808",28301700,34.39
"Saint Kitts and Nevis","2021-09","25394",47681,53.26
"Saint Kitts and Nevis","2021-10","25921",47681,54.36
"Venezuela","2021-10","9926613",28301700,35.07
"Bosnia and Herzegovina","2021-10","797531",3233530,24.66
"Bosnia and Herzegovina","2021-11","882641",3233530,27.3
"Venezuela","2021-11","16415684",28301700,58
"Saint Kitts and Nevis","2021-11","26851",47681,56.31
"Saint Kitts and Nevis","2021-12","27615",47681,57.92
"Venezuela","2021-12","18393519",28301700,64.99
"Bosnia and Herzegovina","2022-01","943394",3233530,29.18
"Saint Kitts and Nevis","2022-01","27958",47681,58.64
"Venezuela","2022-01","20836636",28301700,73.62
"Venezuela","2022-02","22157232",28301700,78.29
"Saint Kitts and Nevis","2022-02","31162",47681,65.36
"Venezuela","2022-03","22157232",28301700,78.29
"Switzerland","2020-12","671",8740471,0.01
"Hungary","2021-01","237872",9967304,2.39
"Switzerland","2021-01","9930",8740471,0.11
"Switzerland","2021-02","549748",8740471,6.29
"Hungary","2021-02","685247",9967304,6.87
"Hungary","2021-03","981401",9967304,9.85
"Switzerland","2021-03","971530",8740471,11.12
"Switzerland","2021-04","995201",8740471,11.39
"Hungary","2021-04","4023137",9967304,40.36
"Hungary","2021-05","5176630",9967304,51.94
"Switzerland","2021-05","3124246",8740471,35.74
"Switzerland","2021-06","4375747",8740471,50.06
"Hungary","2021-06","5486514",9967304,55.05
"Hungary","2021-07","5617260",9967304,56.36
"Switzerland","2021-07","4728580",8740471,54.1
"Switzerland","2021-08","5039563",8740471,57.66
"Hungary","2021-08","5772010",9967304,57.91
"Hungary","2021-09","5891228",9967304,59.11
"Switzerland","2021-09","5554315",8740471,63.55
"Switzerland","2021-10","5741068",8740471,65.68
"Hungary","2021-10","5955207",9967304,59.75
"Hungary","2021-11","6132549",9967304,61.53
"Switzerland","2021-11","5857567",8740471,67.02
"Switzerland","2021-12","5966499",8740471,68.26
"Hungary","2021-12","6266064",9967304,62.87
"Hungary","2022-01","6364167",9967304,63.85
"Switzerland","2022-01","6061233",8740471,69.35
"Switzerland","2022-02","6074200",8740471,69.5
"Hungary","2022-02","6394782",9967304,64.16
"Hungary","2022-03","6402762",9967304,64.24
"Switzerland","2022-03","6078522",8740471,69.54
"Switzerland","2022-04","6081292",8740471,69.58
"Hungary","2022-04","6406501",9967304,64.28
"Hungary","2022-05","6410059",9967304,64.31
"Switzerland","2022-05","6084677",8740471,69.61
"Switzerland","2022-06","6087497",8740471,69.65
"Hungary","2022-06","6411804",9967304,64.33
"Switzerland","2022-07","6087603",8740471,69.65
"Czechia","2020-12","7053",10493990,0.07
"Czechia","2021-01","86968",10493990,0.83
"India","2021-01","806484",1417173120,0.06
"India","2021-02","9964383",1417173120,0.7
"Czechia","2021-02","424646",10493990,4.05
"Czechia","2021-03","985292",10493990,9.39
"India","2021-03","55783201",1417173120,3.94
"Czechia","2021-04","2194622",10493990,20.91
"India","2021-04","97301914",1417173120,6.87
"India","2021-05","167191085",1417173120,11.8
"Czechia","2021-05","3920166",10493990,37.36
"Czechia","2021-06","5098892",10493990,48.59
"India","2021-06","271410023",1417173120,19.15
"Czechia","2021-07","5679262",10493990,54.12
"India","2021-07","359820313",1417173120,25.39
"India","2021-08","497002083",1417173120,35.07
"Czechia","2021-08","5970156",10493990,56.89
"Czechia","2021-09","6099287",10493990,58.12
"India","2021-09","648949043",1417173120,45.79
"India","2021-10","733542729",1417173120,51.76
"Czechia","2021-10","6247229",10493990,59.53
"India","2021-11","789054196",1417173120,55.68
"Czechia","2021-11","6670863",10493990,63.57
"Czechia","2021-12","6827624",10493990,65.06
"India","2021-12","845640601",1417173120,59.67
"Czechia","2022-01","6926683",10493990,66.01
"India","2022-01","943027714",1417173120,66.54
"India","2022-02","965733580",1417173120,68.15
"Czechia","2022-02","6942847",10493990,66.16
"Czechia","2022-03","6951504",10493990,66.24
"India","2022-03","988846975",1417173120,69.78
"India","2022-04","999458254",1417173120,70.52
"Czechia","2022-04","6956824",10493990,66.29
"Czechia","2022-05","6961225",10493990,66.34
"India","2022-05","1011329919",1417173120,71.36
"Czechia","2022-06","6963727",10493990,66.36
"India","2022-06","1016506282",1417173120,71.73
"India","2022-07","1016681915",1417173120,71.74
"Czechia","2022-07","6963910",10493990,66.36
"Sri Lanka","2021-01","59154",21832150,0.27
"Sri Lanka","2021-02","95550",21832150,0.44
"Sri Lanka","2021-03","913219",21832150,4.18
"Tuvalu","2021-04","2400",11335,21.17
"Sri Lanka","2021-04","928107",21832150,4.25
"Sri Lanka","2021-05","996445",21832150,4.56
"Tuvalu","2021-06","4772",11335,42.1
"Sri Lanka","2021-06","2697778",21832150,12.36
"Sri Lanka","2021-07","9634704",21832150,44.13
